Email,UPN,External User ID,CV Partner User ID,Date,Percent Available,Source
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-15,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-16,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-17,35,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-18,34,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-19,29,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-20,10,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-21,29,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-22,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-23,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-24,32,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-25,21,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-26,13,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-27,40,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-28,0,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-29,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-11-30,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-01,20,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-02,37,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-03,31,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-04,40,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-05,39,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-06,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-07,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-08,45,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-09,12,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-10,29,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-11,0,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-12,32,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-13,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-14,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-15,34,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-16,19,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-17,15,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-18,29,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-19,24,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-20,100,Fake generator
danielle.johnson@mail.test,daniellejohnson,ext_0d6f2ab3,0d6f2ab3,2025-12-21,100,Fake generator
